employer,emp_count,median_salary,mean_salary,total_payroll
City Of Toronto - Board Of Governors Of Exhibition Place,48,118915.38,146212.20916666667,7018186.04
City Of Toronto - Board Of Mgmt. Of The Toronto Zoo,49,111440.2,126289.62653061225,6188191.7
City Of Toronto - Central Eglinton Community Centre,2,123274.16,123274.16,246548.32
City Of Toronto - Community Centre 55,2,108245.13500000001,108245.13500000001,216490.27000000002
City Of Toronto - Eastview Neighbourhood Community Centre,3,110545.14,121252.09333333334,363756.28
City Of Toronto - Lakeshore Arena Corporation,3,130659.25,127536.70333333332,382610.11
City Of Toronto - Police Service,6114,138801.91,143194.43256460584,875490760.7
City Of Toronto - Public Library Board,266,109008.29000000001,118216.66312030076,31445632.39
City Of Toronto - Swansea Town Hall,1,133969.55,133969.55,133969.55
City Of Toronto - Toronto Community Housing Corp.,477,115234.89,124334.31220125787,59307466.92
City Of Toronto - Toronto Transit Commission,6842,113956.005,119406.56007892429,816979684.06
City Of Toronto - Waterfront Neighbourhood Centre,1,122110.88,122110.88,122110.88
City Of Vaughan,828,125313.06,132212.80242753623,109472200.41
City Of Waterloo,254,123424.845,129888.84582677165,32991766.84
City Of Welland,99,122706.26,128412.17787878787,12712805.61
City Of Windsor,1173,135940.14,138861.10088661552,162884071.34
City Of Woodstock,83,130339.05,131681.10843373495,10929532.0
City Of Woodstock - Woodstock Police Service,82,121911.88500000001,128063.21646341463,10501183.75
City of Richmond Hill,448,130514.555,136280.41270089286,61053624.89
City of Toronto - Sankofa Square Board of Management,1,161330.05,161330.05,161330.05
City of Toronto - Toronto Seniors Housing Corporation,40,113788.085,131789.307,5271572.28
Civiconnect Youth Community Engagement Organization,3,145000.0,143333.33333333334,430000.0
Clinical Trials Ontario,4,142900.675,166575.535,666302.14
Coaches Association Of Ontario,1,101266.01,101266.01,101266.01
Coalition Ontarienne De Formation Des Adultes,1,129450.86,129450.86,129450.86
Cochrane Temiskaming Children’s Treatment Centre,4,120067.405,125430.3825,501721.53
Cochrane Temiskaming Resource Centre,4,107106.25,115711.2825,462845.13
Colibri-Centre Des Femmes Francophones Du Comte De Simcoe,1,115544.0,115544.0,115544.0
College Of Carpenters And Allied Trades Inc,22,140224.46,149676.88272727272,3292891.42
College Of Traditional Chinese Medicine Practitioners And Acupuncturists Of Ontario,4,126288.98999999999,127896.4475,511585.79
Colleges and Universities,182,124742.82,127193.48527472527,23149214.32
Collingwood Crisis Centre,1,116515.0,116515.0,116515.0
Collingwood General And Marine Hospital,146,117093.19,122975.16034246575,17954373.41
Collège Boréal D’Arts Appliques Et De Technologie,144,126670.13,129409.40236111112,18634953.94
Communitech Corporation,32,125103.39499999999,145747.541875,4663921.34
Community Addiction And Mental Health Services Of Haldimand And Norfolk,2,128626.02500000001,128626.02500000001,257252.05000000002
Community Addiction Services Of Niagara,1,112219.12,112219.12,112219.12
Community Care City Of Kawartha Lakes,14,121957.77,145944.42285714284,2043221.92
Community Care Concepts Of Woolwich Wellesley and Wilmot,1,106120.22,106120.22,106120.22
Community Care Durham,7,127824.03,134615.48,942308.36
Community Care For Central Hastings,1,114813.65,114813.65,114813.65
Community Care For North Hastings,1,102972.96,102972.96,102972.96
Community Care For South Hastings,1,101394.0,101394.0,101394.0
Community Care Peterborough,1,113147.31,113147.31,113147.31
Community Counselling And Resource Centre,1,106110.55,106110.55,106110.55
Community Counselling Centre Of Nipissing,1,118208.18,118208.18,118208.18
Community Family Services of Ontario,1,141895.02,141895.02,141895.02
Community Head Injury Resource Services Of Toronto,5,144697.15,143884.958,719424.79
Community Health Centres of Northumberland,13,127843.8,157228.31076923077,2043968.04
Community Healthcaring Kitchener-Waterloo,18,127730.905,154978.87,2789619.66
Community Home Assistance To Seniors,5,110001.85,122453.45,612267.25
Community Home Support - Lanark County,1,106852.2,106852.2,106852.2
Community Living Access Support Services,1,104221.29,104221.29,104221.29
Community Living Ajax-Pickering and Whitby,1,145921.6,145921.6,145921.6
Community Living Algoma,4,121528.345,132567.9475,530271.79
Community Living Association For South Simcoe,4,115575.20000000001,120983.20000000001,483932.80000000005
Community Living Atikokan,2,126479.38,126479.38,252958.76
Community Living Belleville And Area,1,108023.7,108023.7,108023.7
Community Living Brant,2,123471.5,123471.5,246943.0
Community Living Burlington,7,119741.0,123837.81857142856,866864.73
Community Living Cambridge,7,112091.75,116806.64142857143,817646.49
Community Living Central York,4,114204.83499999999,123619.61,494478.44
Community Living Chatham-kent,5,123945.6,126922.4,634612.0
Community Living Dryden-Sioux Lookout,17,105702.0,114276.41823529411,1942699.1099999999
Community Living Dufferin,3,123615.76,122185.39999999998,366556.19999999995
Community Living Dundas County,2,108286.03,108286.03,216572.06
Community Living Durham North,10,108819.575,116818.514,1168185.14
Community Living Elgin,1,104006.07,104006.07,104006.07
Community Living Espanola,1,104112.49,104112.49,104112.49
Community Living Essex County,6,104570.095,114667.31999999999,688003.9199999999
Community Living Fort Erie,4,111197.0,113776.75,455107.0
Community Living Fort Frances And District,8,124761.46,123194.505,985556.04
Community Living Georgina,1,113224.98,113224.98,113224.98
Community Living Glengarry Inc,1,121485.39,121485.39,121485.39
Community Living Greater Sudbury,3,107147.96,110838.54333333333,332515.63
Community Living Grimsby Lincoln and West Lincoln,1,141576.74,141576.74,141576.74
Community Living Guelph Wellington,3,111430.41,125530.95,376592.85
Community Living Haldimand,2,126349.59999999999,126349.59999999999,252699.19999999998
Community Living Hamilton,2,138300.5,138300.5,276601.0
Community Living Huntsville,1,108687.78,108687.78,108687.78
Community Living Kingston And District,5,117470.93,125614.13799999999,628070.69
Community Living Kirkland Lake,2,110128.9,110128.9,220257.8
Community Living Lennox and Addington,2,126358.20000000001,126358.20000000001,252716.40000000002
Community Living Manitoulin,1,103729.6,103729.6,103729.6
Community Living Mattawa,1,105146.12,105146.12,105146.12
Community Living Mississauga,9,131358.21,136967.89666666667,1232711.07
Community Living North Bay,2,120140.6,120140.6,240281.2
Community Living North Grenville,1,114631.65,114631.65,114631.65
Community Living North Halton,5,103888.17,111114.15400000001,555570.77
Community Living North Perth,1,113326.08,113326.08,113326.08
Community Living Oakville,2,124892.01000000001,124892.01000000001,249784.02000000002
Community Living Ontario,2,136106.0,136106.0,272212.0
Community Living Oshawa/Clarington,5,108349.6,116220.982,581104.91
Community Living Parry Sound,1,115139.51,115139.51,115139.51
Community Living Port Colborne Wainfleet,3,117334.46,124338.97000000002,373016.91000000003
Community Living Prince Edward,4,114879.155,122356.1575,489424.63
Community Living Quinte West,1,104952.0,104952.0,104952.0
Community Living Sarnia-Lambton,1,151441.4,151441.4,151441.4
Community Living South Muskoka,5,103227.0,106507.0,532535.0
Community Living St Catharines,1,142000.04,142000.04,142000.04
Community Living Stratford And Area,1,121992.3,121992.3,121992.3
Community Living Temiskaming South,1,114614.0,114614.0,114614.0
Community Living Thunder Bay,4,112506.0,112696.75,450787.0
Community Living Timmins,1,109488.97,109488.97,109488.97
Community Living Toronto,33,121102.05,129791.56878787877,4283121.77
Community Living Trent Highlands,6,108521.96,115826.80500000001,694960.8300000001
Community Living Upper Ottawa Valley,2,108261.065,108261.065,216522.13
Community Living Wallaceburg,2,123695.0,123695.0,247390.0
Community Living Welland Pelham,3,112676.66,115476.62666666666,346429.88
Community Living Windsor,8,116024.245,124735.12375,997880.99
Community Living York South,4,106282.0,114385.75,457543.0
Community Living and Respite Services Northumberland,2,105335.79000000001,105335.79000000001,210671.58000000002
Community Living-Central Huron,1,124223.32,124223.32,124223.32
Community Resource Centre (Killaloe) Inc,1,102957.0,102957.0,102957.0
Community Services Coordination Network (Ontario),2,119722.48000000001,119722.48000000001,239444.96000000002
Community Services For Independence North West,5,115442.97,116434.26200000002,582171.31
Community Services of Belleville and District,2,110624.285,110624.285,221248.57
Community Support Centre Of Essex County,1,139430.02,139430.02,139430.02
Community Support Connections-Meals On Wheels and More,2,127288.11,127288.11,254576.22
Community Visions And Networking (Quinte),1,130360.93,130360.93,130360.93
"Community and Primary Health Care - Lanark, Leeds and Grenville",1,116377.53,116377.53,116377.53
Compass Community Health,15,145202.92,165301.77333333335,2479526.6
Compass Community Services,1,123896.0,123896.0,123896.0
"Compass, Boussole, Akii-Izhinoogan Mental Health, Development And Community Services For Children, Youth And Families",10,106564.71,113178.479,1131784.79
Compute Ontario,3,203897.06,204596.62333333332,613789.87
Conestoga College Institute Of Technology and Advanced Learning,968,124612.54000000001,128467.50147727272,124356541.42999999
Confederation College Of Applied Arts and Technology,171,126203.48,127206.19444444444,21752259.25
Connections An Early Years Family Centre Inc,2,102772.12,102772.12,205544.24
Connectwell Community Health,18,127513.51499999998,148547.94277777776,2673862.9699999997
Conseil Des Écoles Catholiques Du Centre Est,1471,119455.64,120686.4451053705,177529760.75
Conseil Des Écoles Publiques De L’est De L’ontario,971,119632.41,121028.05165808444,117518238.16
Conseil Scolaire Catholique Des Aurores Boréales,68,120087.525,127969.6844117647,8701938.54
Conseil Scolaire Catholique Des Grandes Rivières,408,120121.485,123394.1974509804,50344832.56
Conseil Scolaire Catholique Franco-Nord,212,120250.3,124903.53245283019,26479548.88
Conseil Scolaire Catholique MonAvenir,932,119842.04000000001,121207.24306866953,112965150.54
Conseil Scolaire Catholique Providence,562,119697.10500000001,121498.40855871886,68282105.61
Conseil Scolaire De District Catholique De L’est Ontarien,678,119436.73000000001,121869.55457227139,82627558.0
Conseil Scolaire De District Catholique Du Nouvel-Ontario,471,119935.83,122857.72348195329,57865987.76
Conseil Scolaire Public Du Grand Nord De L’ontario,256,119966.525,124704.422890625,31924332.26
Conseil Scolaire Public Du Nord-est De L’ontario,190,119974.29500000001,122568.02905263158,23287925.52
Conseil Scolaire Viamonde,743,115605.01,119667.34660834455,88912838.53
Consent and Capacity Board,13,122389.98,132113.60076923078,1717476.81
Conservation Ontario,5,116914.25,141098.26,705491.3
Consortium Centre Jules-Léger,40,119040.0,123190.05,4927602.0
Construction And Allied Workers Local Union 607 Training And Education Fund (Liuna),2,124819.785,124819.785,249639.57
Contact Brant For Children’s And Developmental Services,1,147444.33,147444.33,147444.33
Contact Hamilton For Children’s And Developmental Services,1,140240.96,140240.96,140240.96
Contact Niagara For Children’s and Developmental Services,1,100861.11,100861.11,100861.11
Contact North,5,102013.01,123545.3,617726.5
Copernicus Lodge Inc,9,112500.0,120588.95999999999,1085300.64
Corbrook Awakening Abilities,3,112563.14,136842.99666666667,410528.99
Cornerstone Family Violence Prevention Centre,1,114773.28,114773.28,114773.28
Cornwall Community Hospital,313,118009.1,125240.29476038337,39200212.26
Costi Immigrant Services,14,118666.85500000001,130903.10357142858,1832643.4500000002
Cota Health,8,118379.905,128108.56999999999,1024868.5599999999
Counselling And Family Service Ottawa,1,124999.95,124999.95,124999.95
Country Roads Community Health Centre,11,139782.22,160951.48909090908,1770466.38
County Of Brant,106,116932.34,123127.21660377359,13051484.96
County Of Bruce,87,115055.51,123056.64229885058,10705927.88
County Of Dufferin,63,113235.15,121939.31428571428,7682176.8
County Of Elgin,32,119395.72,128156.3240625,4101002.37
County Of Essex,236,110659.73000000001,118622.58855932203,27994930.9
County Of Frontenac,120,111506.36499999999,114401.36391666667,13728163.67
County Of Grey,111,110267.43,117309.67774774776,13021374.23
County Of Haliburton,27,118607.84,125833.31370370371,3397499.47
County Of Hastings,113,111196.84,119218.28309734513,13471665.99
County Of Huron,99,110097.18,120641.59383838385,11943517.790000001
County Of Lambton,173,110666.6,121799.43000000001,21071301.39
County Of Lanark,26,114079.02,124928.25076923077,3248134.52
County Of Lennox And Addington,58,115313.785,122895.39965517241,7127933.18
County Of Middlesex,43,118353.64,132530.4941860465,5698811.25
County Of Middlesex - Middlesex London Emergency Medical Services Authority,182,109986.295,113127.20615384616,20589151.52
County Of Northumberland,111,114460.51,123268.36279279279,13682788.27
County Of Oxford,161,108397.56,118318.18403726707,19049227.63
County Of Perth,53,110490.8,118309.93547169812,6270426.58
County Of Peterborough,110,111552.75,118822.09881818181,13070430.87
County Of Prince Edward,62,123798.69,130519.2429032258,8092193.06
County Of Renfrew,155,115363.39,119194.25019354839,18475108.78
County Of Simcoe,514,115011.035,121662.85042801556,62534705.12
County Of Wellington,98,116140.265,130137.67285714285,12753491.94
Craigwiel Gardens Inc,4,110080.02,110377.835,441511.34
Craigwood Youth Services,2,149138.89,149138.89,298277.78
Credit Valley Conservation Authority,54,118658.565,125730.6824074074,6789456.85
Crest Support Services (Meadowcrest) Inc,2,144307.375,144307.375,288614.75
Crisis Centre North Bay,1,117474.0,117474.0,117474.0
Crisis Homes Inc (o/a Faye Peterson Transition House),1,109921.05,109921.05,109921.05
Crossroads Children’s Centre,2,129669.63500000001,129669.63500000001,259339.27000000002
Dale Brain Injury Services Inc,3,103668.88,106144.60666666667,318433.82
Davenport-Perth Neighbourhood And Community Health Centre,8,162622.695,175922.88875,1407383.11
David Smith Youth Treatment Centre,2,137219.235,137219.235,274438.47
De Dwa Da Dehs Nye’s Aboriginal Health Centre,11,127878.4,137332.75090909092,1510660.26
Deafblind Community Services,1,169332.01,169332.01,169332.01
Deafblind Ontario Services,8,113979.31,132589.25125,1060714.01
Death Investigation Oversight Council,3,110854.62,110788.94,332366.82
Deep River And District Health,23,119703.39,127457.34782608696,2931519.0
Deer Lake First Nation School,4,108883.41,108316.53,433266.12
Delta Family Resource Centre,1,105810.0,105810.0,105810.0
Developmental Services Of Leeds And Grenville,5,118566.34,123083.102,615415.51
Dilico Anishinabek Family Care,21,118498.4,119684.28285714285,2513369.94
District Municipality Of Muskoka,123,112560.2,122637.99455284553,15084473.33
District Of Cochrane Social Services Administration Board,62,113783.015,120218.04435483871,7453518.75
District Of Kenora Home For The Aged,39,121782.54,128076.76794871796,4994993.95
District Of Manitoulin Board,4,109096.0,108288.5,433154.0
District Of Nipissing Social Services Administration Board,67,117202.19,119932.84970149254,8035500.93
District Of Parry Sound Social Services Administration Board,16,125117.70999999999,125371.7475,2005947.96
District Of Sault Ste Marie Social Services Administration Board,57,105893.92,113838.13333333333,6488773.6
District Of Thunder Bay Social Services Administration Board,13,111550.62,123914.42153846154,1610887.48
District Of Timiskaming Social Services Admin Board,44,113680.93,120225.12181818183,5289905.36
District School Board Of Niagara,2294,131971.625,128324.7754359198,294377034.85
District School Board Ontario North East,442,133423.585,131317.1290045249,58042171.02
Dixie Bloor Neighbourhood Drop-in Centre,1,142187.0,142187.0,142187.0
Dixon Hall,10,123538.35,139334.937,1393349.37
Dnaagdawenmag Binnoojiiyag Child And Family Services,28,120494.23,121850.875,3411824.5
Dorothy Ley Hospice Inc,4,115959.455,121958.1325,487832.53
Dr Bob Kemp Hospice Foundation Inc,3,104999.96,110884.63666666667,332653.91000000003
Dream Legacy Foundation,1,120000.0,120000.0,120000.0
Dryden District Senior Services Inc,1,127910.45,127910.45,127910.45
Dryden Regional Health Centre,66,117986.86499999999,124913.87424242425,8244315.7
Ducks Unlimited Canada,9,138514.14,168124.6888888889,1513122.2
Dufferin Child and Family Services,15,110078.53,117785.21666666666,1766778.25
Dufferin-Peel Catholic District School Board,4318,127025.08499999999,126367.86503242243,545656441.21
Durham Association for Family Resources and Support,3,114885.0,113141.66666666667,339425.0
Durham Catholic District School Board,1177,133123.54,130750.57288870007,153893424.29
Durham Children’s Aid Society,62,114749.06,117920.33596774194,7311060.83
Durham College Of Applied Arts and Technology,409,125368.69,127595.44185819071,52186535.72
Durham Community Health Centre,21,135969.32,188073.1723809524,3949536.62
Durham District School Board,4247,132634.74,129298.43124323052,549130437.49
E3 (Educate Enable Empower) Community Services Inc,3,102820.66,113221.67333333334,339665.02
EFRY Hope and Help for Women,2,106690.5,106690.5,213381.0
East End Community Health Centre,11,122297.23,178321.32727272727,1961534.6
East Wellington Community Services Inc,1,155342.72,155342.72,155342.72
East York Meals On Wheels Inc,1,139851.0,139851.0,139851.0
Eastern Ontario Health Unit,21,117577.14,137316.74476190476,2883651.64
Eastern Ontario Regional Laboratory Association (EORLA),276,109184.66500000001,142521.71782608694,39335994.12
Eastern Ontario Regional Network Inc,6,128011.085,137271.76833333334,823630.61
Eastern Ontario Training Board,1,109200.0,109200.0,109200.0
Eastern Ottawa Resource Centre,1,120000.0,120000.0,120000.0
Eastholme East District Of Parry Sound Home For The Aged,7,136722.98,134073.45714285714,938514.2
"Economic Development, Job Creation and Trade",335,124135.09,128492.67113432835,43045044.83
Edgewater Gardens Long Term Care Centre,2,111309.51000000001,111309.51000000001,222619.02000000002
Education,895,125991.47,129513.34241340781,115914441.46
Education Quality and Accountability Office,60,130480.54999999999,135962.00566666666,8157720.34
Electrical Contractors Assoc Of Ontario,3,167284.0,204773.33333333334,614320.0
Electrical Contractors Association Of Ottawa,1,169000.0,169000.0,169000.0
Elizabeth Fry Society Of Ottawa,1,125000.0,125000.0,125000.0
Elmira District Community Living,2,113447.39,113447.39,226894.78
Embrave Agency To End Violence,1,151384.26,151384.26,151384.26
Empower Simcoe Services,14,108560.95999999999,120935.73785714286,1693100.33
Empowered Kids Ontario,4,150432.66,161781.56,647126.24
Enaahtig Healing Lodge and Learning Centre,1,131489.26,131489.26,131489.26
Energy,115,127969.31,133352.00573913043,15335480.66
"Environment, Conservation and Parks",1227,114553.7,118823.49054604728,145796422.9
Erie Shores Healthcare,116,118144.93,126025.28456896552,14618933.01
Erinoakkids Centre For Treatment And Development,124,108324.85,119156.62733870967,14775421.79
Ernestine’s Women’s Shelter,1,108000.0,108000.0,108000.0
Espanola General Hospital,38,117539.375,128203.75736842107,4871742.78
Essex Region Conservation Authority,8,126942.67,137361.0175,1098888.14
Estonian Relief Committee In Canada,1,112383.79,112383.79,112383.79
Etobicoke Services For Seniors,2,124514.715,124514.715,249029.43
EveryMind Mental Health Services,21,111345.77,126358.17476190475,2653521.67
Extend-A-Family,1,106202.52,106202.52,106202.52
Extend-A-Family Waterloo Region,2,123377.8,123377.8,246755.6
Extend-a-Family (Kingston),4,116686.42,121591.7475,486366.99
F J Davey Home,15,113115.98,121608.40466666667,1824126.07
Fair Chance Learning Inc,1,107712.0,107712.0,107712.0
Fairhaven Home For Senior Citizens,13,117677.72,118225.66384615384,1536933.63
Fairview Mennonite Homes,9,114223.04,118561.92444444445,1067057.32
Family And Children’s Services Of Frontenac Lennox And Addington,24,118722.39,120412.58208333334,2889901.97
Family And Children’s Services Of Lanark Leeds And Grenville,24,113703.44,117308.49291666667,2815403.83
Family And Children’s Services Of Renfrew County,29,116253.05,120466.01310344828,3493514.38
Family Counselling Centre Of Cambridge and North Dumfries,1,108692.18,108692.18,108692.18
Family Service Thames Valley,1,109613.0,109613.0,109613.0
Family Service Toronto,9,122802.18,125968.23000000001,1133714.07
Family Services Of Peel,1,110000.0,110000.0,110000.0
Family Services Ottawa,2,144694.805,144694.805,289389.61
Family Services Windsor-Essex,3,103218.18,117394.93999999999,352184.81999999995
Family Services York Region,3,123253.97,136549.43333333332,409648.3
Family Transition Place,3,102426.79,102547.44333333334,307642.33
Family and Children’s Services Of St Thomas And Elgin,18,118482.36,126871.92055555555,2283694.57
Fanshawe College Of Applied Arts and Technology,658,126689.04,124877.55743161096,82169432.79
Fast Track Community Centre For Skills Development and Training,4,111442.36499999999,122467.7275,489870.91
Fedcap Canada,8,108901.83499999999,121228.69375,969829.55
Federation De La Jeunesse Franco-ontarienne (FESFO),1,103889.74,103889.74,103889.74
Fields Institute For Research In Math Sciences,5,115999.97,122757.028,613785.14
Fife House Foundation,1,156150.8,156150.8,156150.8
Finance,573,125351.99,128848.14270506108,73829985.77
Financial Accountability Officer,11,187167.38,187929.16454545455,2067220.81
Financial Services Regulatory Authority of Ontario,305,122801.64,145586.60213114755,44403913.65
Financial Services Tribunal,1,105325.0,105325.0,105325.0
Findhelp Information Services,5,128465.37,133504.854,667524.27
Fire Marshal’s Public Fire Safety Council,1,159998.8,159998.8,159998.8
Firefly (Physical Emotional Developmental And Community Services),15,106018.46,117006.35266666667,1755095.29
First Nations Agriculture and Financing of Ontario,1,111384.61,111384.61,111384.61
First Nations Technical Institute,2,124770.4,124770.4,249540.8
First Robotics Canada,4,132813.0,134732.5,538930.0
Five Counties Children’s Centre,10,110466.535,122237.16399999999,1222371.64
Flemingdon Health Centre,18,155284.9,174826.96444444443,3146885.36
Football Ontario,1,106249.92,106249.92,106249.92
For Youth Initiative In Toronto,1,105365.0,105365.0,105365.0
Forest Gene Conservation Association Of Ontario,1,100000.0,100000.0,100000.0
Fort Frances Community Clinic Inc,2,122663.855,122663.855,245327.71
Fort William First Nation,2,152516.5,152516.5,305033.0
Forward House Of London,4,108744.5,113966.85250000001,455867.41000000003
Four Counties Addiction Services Team Inc,4,114596.0,121313.0,485252.0
Four Counties Health Services,11,120982.0,125636.16454545455,1381997.81
Foyer Des Pionniers,4,112230.5,119923.0,479692.0
Foyer Richelieu Welland Inc,7,120402.21,134408.76428571428,940861.35
Francophone Affairs,15,129927.58,141973.42133333333,2129601.32
Fred Victor Centre,21,120667.37,127416.93,2675755.53
Friends Supporting Those With Long Term Health Care Needs,2,108948.95,108948.95,217897.9
Frontenac Youth Services,1,103681.65,103681.65,103681.65
Futurpreneur Canada,14,171876.53999999998,183353.07428571428,2566943.04
GTA Region Investment Attraction (o/a Toronto Global),17,180739.97,188575.76235294118,3205787.96
Garden River First Nation,1,117299.0,117299.0,117299.0
Gateway Community Health Centre,13,139406.0,149745.49307692307,1946691.41
Gateway Residence Of Niagara Inc,1,100933.0,100933.0,100933.0
Geneva Centre For Autism,10,138000.09000000003,153472.102,1534721.02
George Brown College Of Applied Arts and Technology,822,126131.2,127341.35740875913,104674595.79
George Hull Centre For Children and Families,11,112664.31,123787.41909090908,1361661.6099999999
George Jeffrey Children’s Centre,3,110389.45,126323.10333333333,378969.31
Georgian Bay General Hospital,124,117387.645,123003.83040322582,15252474.97
Georgian College Of Applied Arts and Technology,466,123413.89000000001,126444.85875536481,58923304.18
Geraldton District Hospital,23,114622.67,121004.1404347826,2783095.23
Geriatric Psychiatry Community Services Of Ottawa,3,116185.82,124610.23333333334,373830.7
Gerstein Crisis Centre,1,118454.0,118454.0,118454.0
Giishkaandago’Ikwe Health Services,15,109974.67,119835.15533333334,1797527.33
Gizhewaadiziwin Health Access Centre,1,137311.37,137311.37,137311.37
Glebe Centre Inc,15,122954.22,129397.07400000001,1940956.11
Glen Hill Terrace Christian Homes Inc,14,113201.245,129665.09214285715,1815311.29
Glengarry Inter-Agency Group Inc (GIAG),1,110950.04,110950.04,110950.04
Glengarry Memorial Hospital,31,120830.36,133590.52096774193,4141306.15
Global Citizens Care For Underprivileged And Refugee Empowerment Inc,2,120000.0,120000.0,240000.0
Global Risk Institute In Financial Services,13,172822.38,194472.77615384615,2528146.09
Good Shepherd Centre Hamilton,6,123915.125,122798.86333333333,736793.1799999999
Good Shepherd Non-Profit Homes Inc,8,110859.845,115076.09875,920608.79
Good Shepherd Refuge Social Ministries,3,123455.24,130193.23,390579.69
"Goodwill, The Amity Group",6,133032.78999999998,139380.44,836282.64
Governing Council Of The Salvation Army In Canada,214,127553.57500000001,140768.12112149532,30124377.92
Grand Bend Area Community Health Centre Inc,10,191704.635,183970.75400000002,1839707.54
Grand Council Treaty 3 Representative Services,3,113359.21,127874.73666666668,383624.21
Grand Erie District School Board,1552,132753.295,129971.22088917525,201715334.82
Grand River Community Health Centre,12,131627.56,162298.98,1947587.76
Grand River Conservation Authority,37,116083.26,121831.87702702703,4507779.45
Grand River Employment And Training Inc,2,124500.0,124500.0,249000.0
Grand River Hospital Corporation,917,115571.75,123975.73820065432,113685751.93
Grand Valley Construction Association,1,189136.22,189136.22,189136.22
Grandview Children’s Centre,20,121904.11,137860.7065,2757214.13
Grandview School Authority,6,127875.455,126124.23166666667,756745.39
Greater Essex County District School Board,2158,133440.99,130724.41165430956,282103280.35
Greater Peterborough Area Economic Development Corporation,3,122368.99,122057.75333333334,366173.26
Greenbelt Foundation,3,119025.12,125654.77333333333,376964.32
Greenstone Victim Services,1,108045.8,108045.8,108045.8
Grey Bruce Health Unit,12,128123.06,144253.11666666667,1731037.4
Grievance Settlement Board,2,128638.965,128638.965,257277.93
Group Home For Deaf-Blind Persons (Brantford) Inc,1,120570.37,120570.37,120570.37
Groupe Impact ON,1,138837.92,138837.92,138837.92
Grove Park Home For Senior Citizens Inc,2,121931.5,121931.5,243863.0
Groves Memorial Community Hospital,61,117784.55,123987.78098360656,7563254.64
Guelph Business Enterprise Centre,1,108269.0,108269.0,108269.0
Guelph Community Health Centre,16,130605.74,151677.78125,2426844.5
Guelph General Hospital,345,116143.82,121008.37773913043,41747890.32
Guelph Independent Living,1,106496.0,106496.0,106496.0
Guelph-Wellington Women In Crisis,1,141935.2,141935.2,141935.2
Gwekwaadziwin Miikan,1,110000.0,110000.0,110000.0
HIV and AIDS Legal Clinic (Ontario),2,131936.71,131936.71,263873.42
Habitat For Humanity Of Northumberland,1,111093.07,111093.07,111093.07
Haldimand County,93,112230.7,123937.17172043011,11526156.97
Haldimand War Memorial Hospital,35,112596.03,118515.86171428573,4148055.16
Haldimand-Norfolk Resource Education And Counselling Help,1,125864.33,125864.33,125864.33
Haldimand-Norfolk Women’s Services,1,106188.83,106188.83,106188.83
Haliburton Highlands Health Services Corporation,37,115802.85,122276.69864864864,4524237.85
Haliburton Kawartha Pine Ridge Health Unit,18,119272.695,134586.8738888889,2422563.73
Halton Alcohol Drug and Gambling Assessment Prevention Treatment - ADAPT,2,130473.31,130473.31,260946.62
Halton Catholic District School Board,1868,126124.36,125205.58783725911,233884038.08
Halton District School Board,3577,128234.8,126360.61019569472,451991902.67
Halton Healthcare Services Corporation,1154,115537.54999999999,121628.10265164645,140358830.46
Halton Industry Education Council,6,113711.51000000001,128750.015,772500.09
Halton Multicultural Council,1,132962.0,132962.0,132962.0
Halton Region Conservation Authority,48,112592.4,118841.08458333333,5704372.06
Halton Women’s Place,3,111247.0,119348.0,358044.0
Hamilton Child and Family Supports,42,116196.875,122072.28785714286,5127036.09
Hamilton Halton Brant Regional Tourism Association,1,149046.57,149046.57,149046.57
Hamilton Health Sciences,3545,118295.84,126104.24931170663,447039563.81
Hamilton Jewish Home For The Aged,2,122889.51999999999,122889.51999999999,245779.03999999998
Hamilton Program For Schizophrenia Inc,1,132312.5,132312.5,132312.5
Hamilton Urban Core Community Health Centre,5,131385.86,178599.13,892995.65
Hamilton Wentworth Catholic District School Board,1672,132976.63,130765.80421052633,218640424.64000002
Hamilton Young Womens Christian Association,8,103557.125,116342.47,930739.76
Hamilton-Wentworth District School Board,2737,119737.36,124002.99808914869,339396205.77
Hammer Heads Program,2,181881.565,181881.565,363763.13
Hands Thefamilyhelpnetwork.ca,11,121167.2,123789.63545454545,1361685.99
Hanover And District Hospital,38,118283.505,120989.8994736842,4597616.18
Harmony Centre For Community Living,1,109514.09,109514.09,109514.09
Harmony Place Support Services,1,100249.0,100249.0,100249.0
Hastings And Prince Edward District School Board,921,131081.35,130289.08498371336,119996247.27
Hastings Prince Edward Public Health,15,121148.69,138085.68133333334,2071285.22
Haven Toronto,1,112267.56,112267.56,112267.56
Hawkesbury And District General Hospital,211,120523.18,127613.78355450236,26926508.33
Head Injury Rehabilitation Ontario,6,133854.385,141053.7616666667,846322.5700000001
Headwater Health Care Centre,177,118510.18,124510.05892655367,22038280.43
Health,1588,121286.095,124243.31677581863,197298387.04
Health And Supportive Care Providers Oversight Authority,1,107113.83,107113.83,107113.83
Health Boards Secretariat,2,168780.655,168780.655,337561.31
Health Nexus,2,169341.0,169341.0,338682.0
Health Professions Appeal and Review Board,6,122303.625,131694.33333333334,790166.0
Health Sciences North,1383,116131.19,121727.48372378887,168349109.99
Hearst Kap S-R-F Counselling Services,2,128818.725,128818.725,257637.45
Hellenic Care For Seniors (Toronto),1,112074.81,112074.81,112074.81
Hellenic Home For The Aged Inc,13,128380.09,148817.8530769231,1934632.09
